User_ID,Age,Gender,Region,Game_Genre,Interaction_Rating
U_1000,54,Male,EU,JRPG,3
U_1001,61,Female,AFR,Simulation,5
U_1002,58,Other,EU,RPG,3
U_1003,54,Male,OCE,Action,4
U_1004,40,Male,SA,RPG,3
U_1005,27,Non-binary,EU,Action,3
U_1006,29,Non-binary,EU,Horror,3
U_1007,15,Female,NA,Action,5
U_1008,13,Male,OCE,Simulation,3
U_1009,13,Other,AFR,JRPG,3
U_1010,48,Other,OCE,FPS,2
U_1011,32,Female,EU,JRPG,3
U_1012,32,Male,OCE,RPG,5
U_1013,26,Female,AFR,Battle Royale,3
U_1014,36,Non-binary,SA,RPG,3
U_1015,18,Male,AFR,Puzzle,3
U_1016,36,Female,OCE,Action,3
U_1017,61,Other,ASIA,RPG,5
U_1018,33,Non-binary,NA,RPG,4
U_1019,51,Male,AFR,Puzzle,5
U_1020,55,Female,SA,Horror,3
U_1021,64,Female,EU,Puzzle,5
U_1022,24,Other,ASIA,Horror,3
U_1023,17,Non-binary,SA,Puzzle,2
U_1024,19,Female,NA,Horror,3
U_1025,23,Non-binary,ASIA,Horror,3
U_1026,33,Non-binary,ASIA,Adventure,4
U_1027,64,Male,OCE,Adventure,3
U_1028,27,Other,EU,Adventure,5
U_1029,65,Non-binary,NA,Adventure,3
U_1030,19,Male,NA,Simulation,3
U_1031,31,Other,EU,FPS,3
U_1032,27,Female,AFR,Horror,3
U_1033,21,Female,ASIA,Horror,3
U_1034,28,Non-binary,NA,Horror,3
U_1035,16,Male,OCE,Action,5
U_1036,37,Male,SA,Battle Royale,2
U_1037,42,Other,SA,Puzzle,4
U_1038,19,Male,OCE,RPG,4
U_1039,15,Non-binary,NA,Puzzle,2
U_1040,38,Male,EU,Simulation,5
U_1041,45,Non-binary,OCE,Puzzle,5
U_1042,17,Female,EU,JRPG,3
U_1043,33,Male,NA,Horror,3
U_1044,50,Female,OCE,RPG,3
U_1045,29,Male,AFR,FPS,4
U_1046,25,Male,AFR,Horror,3
U_1047,26,Male,ASIA,JRPG,4
U_1048,62,Male,ASIA,Adventure,3
U_1049,44,Female,ASIA,Action,3
U_1050,41,Other,EU,Horror,3
U_1051,61,Male,OCE,Battle Royale,2
U_1052,22,Other,EU,Adventure,4
U_1053,16,Non-binary,SA,Horror,3
U_1054,41,Male,NA,Adventure,3
U_1055,26,Other,SA,Adventure,4
U_1056,13,Male,OCE,FPS,5
U_1057,46,Female,AFR,RPG,3
U_1058,30,Other,SA,Puzzle,3
U_1059,63,Other,NA,RPG,3
U_1060,20,Male,SA,Puzzle,3
U_1061,64,Other,ASIA,RPG,4
U_1062,42,Female,NA,Simulation,5
U_1063,40,Non-binary,AFR,JRPG,3
U_1064,23,Female,AFR,JRPG,3
U_1065,17,Male,SA,Battle Royale,5
U_1066,21,Non-binary,SA,Adventure,5
U_1067,47,Non-binary,EU,JRPG,3
U_1068,49,Non-binary,ASIA,Battle Royale,2
U_1069,21,Male,SA,Adventure,5
U_1070,60,Female,EU,Action,3
U_1071,44,Female,OCE,Puzzle,5
U_1072,48,Male,ASIA,Horror,3
U_1073,35,Non-binary,NA,JRPG,3
U_1074,41,Male,SA,Strategy,5
U_1075,32,Other,OCE,FPS,3
U_1076,35,Male,ASIA,JRPG,4
U_1077,57,Male,NA,FPS,3
U_1078,58,Female,NA,Simulation,5
U_1079,16,Other,SA,Simulation,3
U_1080,60,Other,OCE,Puzzle,4
U_1081,59,Female,NA,JRPG,3
U_1082,64,Female,OCE,Action,3
U_1083,26,Non-binary,EU,Action,3
U_1084,62,Female,ASIA,Strategy,5
U_1085,18,Non-binary,EU,Horror,3
